data,temp,press,hum
2024-01-05,30,1012,70
2024-01-10,31,1010,68
2024-01-15,29,1013,72
2024-01-20,32,1009,65
2024-01-25,30,1011,69

2024-02-05,31,1012,75
2024-02-10,33,1011,73
2024-02-15,32,1010,74
2024-02-20,34,1008,72
2024-02-25,33,1012,76

2024-03-05,29,1013,70
2024-03-10,28,1012,68
2024-03-15,27,1014,67
2024-03-20,26,1013,65
2024-03-25,27,1012,66

2024-04-05,25,1015,64
2024-04-10,24,1016,62
2024-04-15,23,1017,60
2024-04-20,22,1016,61
2024-04-25,23,1015,63

2024-05-05,22,1017,60
2024-05-10,21,1018,58
2024-05-15,20,1019,57
2024-05-20,19,1018,55
2024-05-25,20,1017,56

2024-06-05,19,1018,58
2024-06-10,18,1019,56
2024-06-15,17,1020,55
2024-06-20,16,1019,54
2024-06-25,17,1018,55

2024-07-05,20,1015,60
2024-07-10,19,1016,58
2024-07-15,18,1017,55
2024-07-20,21,1014,57
2024-07-25,20,1015,59

2024-08-05,22,1014,60
2024-08-10,23,1013,62
2024-08-15,24,1012,63
2024-08-20,25,1011,65
2024-08-25,24,1012,64

2024-09-05,25,1013,66
2024-09-10,26,1012,68
2024-09-15,27,1011,70
2024-09-20,28,1010,72
2024-09-25,27,1011,71

2024-10-05,27,1012,70
2024-10-10,28,1011,72
2024-10-15,29,1010,73
2024-10-20,30,1009,75
2024-10-25,29,1010,74

2024-11-05,29,1011,72
2024-11-10,30,1010,74
2024-11-15,31,1009,75
2024-11-20,32,1008,76
2024-11-25,31,1009,74

2024-12-05,31,1010,75
2024-12-10,32,1009,76
2024-12-15,33,1008,78
2024-12-20,34,1007,77
2024-12-25,33,1009,76
